state,cd,year,total_vote,rep_vote,rep_candidate,dem_vote,dem_candidate,other_vote,plurality_vote,plurality_party,source_volume,confidence
GEORGIA,7,2014,2014.0,173669.0,"WOODALL, ROB*",113557.0,"WIGHT, THOMAS D.",,53445.0,R,31,low
GEORGIA,7,2012,2012.0,252066.0,"WOODALL, ROB*",156689.0,"REILLY, STEVE",,61312.0,R,31,low
GEORGIA,8,2014,2014.0,130057.0,"SCOTT, AUSTIN*",129938.0,,,129938.0,R,31,low
GEORGIA,8,2012,2012.0,197789.0,"SCOTT, AUSTIN*",197789.0,,,197789.0,R,31,low
GEORGIA,9,2014,2014.0,181047.0,"COLLINS, DOUG*",146059.0,"VOGEL, DAVID D.",,111071.0,R,31,low
GEORGIA,9,2012,201.0,2.0,Sete,192101.0,eeeezo,,132049.0,R,31,low
GEORGIA,10,2014,10.0,2014.0,"HICE, JODY B.",196480.0,"DIOUS, IVORY KENNETH KEN",,64926.0,R,31,low
GEORGIA,10,2012,10.0,2012.0,"BROUN, PAUL*",211466.0,,,211065.0,R,31,low
GEORGIA,11,2014,11.0,2014.0,"LOUDERMILK, BARRY",161532.0,,,161532.0,R,31,low
GEORGIA,11,2012,11.0,2012.0,"GINGREY, PHIL*",287351.0,"THOMPSON, PATRICK",,106615.0,R,31,low
GEORGIA,12,2014,12.0,2014.0,"ALLEN, RICK W.",166814.0,"BARROW, JOHN*",,15858.0,R,31,low
GEORGIA,12,2012,201280259121.0,119973.0,"ANDERSON, LEE",139148.0,"BARROW, JOHN*",,19175.0,D,31,low
GEORGIA,13,2014,13.0,2014.0,"SCOTT, DAVID*",159445.0,,,159445.0,D,31,low
GEORGIA,13,2012,2012.0,261538.0,By,79550.0,"MALIK, S.",,122438.0,D,31,low
GEORGIA,14,2014,14.0,2014.0,"GRAVES, TOM*",118782.0,,,118782.0,R,31,low
GEORGIA,14,2012,14.0,2012.0,"GRAVES, TOM*",219192.0,"GRANT, DANIEL DANNY",,100702.0,R,31,low
HAWAII,1,2014,2014.0,179844.0,"DJOU, CHARLES",86454.0,"TAKAI, MARK",,6936.0,D,31,low
HAWAII,1,2012,2012.0,2137329.0,"DJOU, CHARLES",96824.0,"HANABUSA, COLLEEN*",,19681.0,D,31,low
HAWAII,2,2014,2014.0,180333.0,"CROWLEY, KAWIKA",33630.0,"GABBARD, TULSI*",,108380.0,D,31,low
HAWAII,2,2012,2012.0,209210.0,"CROWLEY, KAWIKA",40707.0,".  GABBARD, TULSI",,127796.0,D,31,low
